DETAILED TRIAL RESULTS - bayesian_tuning
==================================================
Objective: Minimize Averge Energy 

Trial  | Time(s)  | Avg Energy  | Perplexity  | Combined Loss | n_embed | block_size | heads | blocks | T   | LR       | Warmup | Dropout | Bias 
42     | 70.2     | 0.094867    | 1028.1188   | 3.515176    | 224     | 256        | 16    | 10     | 1   |6.74e-04 | 63     | 0.290   | True 
43     | 64.8     | 0.094127    | 1024.0998   | 3.512848    | 240     | 192        | 12    | 10     | 1   |6.48e-04 | 61     | 0.306   | True 
44     | 64.1     | 0.110764    | 1023.2183   | 3.520736    | 240     | 208        | 12    | 10     | 1   |6.34e-04 | 93     | 0.311   | True 
45     | 76.5     | 0.200021    | 1025.7546   | 3.566602    | 272     | 144        | 16    | 10     | 1   |2.13e-04 | 93     | 0.265   | True 
46     | 39.0     | 0.196899    | 1019.5527   | 3.562009    | 240     | 208        | 16    | 6      | 1   |1.81e-03 | 79     | 0.327   | True 
47     | 141.2    | 0.263824    | 1021.8969   | 3.596620    | 320     | 208        | 32    | 7      | 2   |6.55e-04 | 60     | 0.283   | True 
48     | 64.6     | 0.122165    | 1029.4390   | 3.529467    | 224     | 112        | 16    | 9      | 1   |4.28e-04 | 64     | 0.245   | True 
49     | 163.1    | 0.451262    | 1026.2651   | 3.692472    | 288     | 160        | 18    | 8      | 3   |1.20e-04 | 104    | 0.316   | True 
50     | 76.2     | 0.203699    | 1020.8271   | 3.566034    | 272     | 224        | 16    | 10     | 1   |1.82e-03 | 78     | 0.227   | True 
51     | 63.7     | 0.115058    | 1018.2381   | 3.520443    | 224     | 96         | 16    | 9      | 1   |4.50e-04 | 62     | 0.255   | True 
52     | 65.6     | 0.159574    | 1023.2311   | 3.545147    | 240     | 64         | 16    | 9      | 1   |1.05e-03 | 58     | 0.258   | True 
53     | 70.5     | 0.108782    | 1024.0471   | 3.520150    | 224     | 96         | 16    | 10     | 1   |6.27e-04 | 92     | 0.332   | True 
54     | 63.7     | 0.142058    | 1028.2724   | 3.538847    | 208     | 96         | 16    | 9      | 1   |3.75e-04 | 76     | 0.333   | True 
55     | 44.6     | 0.245594    | 1026.2866   | 3.589648    | 128     | 128        | 8     | 10     | 1   |1.95e-04 | 1049   | 0.372   | True 
56     | 180.5    | 106991791.689245 | 1028.0571   | 53495899.312336 | 176     | 96         | 16    | 8      | 4   |1.21e-03 | 140    | 0.282   | True 
57     | 78.2     | 0.101950    | 1022.0727   | 3.515769    | 224     | 80         | 16    | 11     | 1   |7.33e-04 | 64     | 0.294   | True 
58     | 25.5     | 0.141853    | 1021.8480   | 3.535610    | 304     | 64         | 4     | 5      | 1   |2.67e-04 | 50     | 0.240   | True 
59     | 135.8    | 0.232838    | 1025.1497   | 3.582716    | 272     | 80         | 17    | 10     | 2   |4.78e-04 | 114    | 0.363   | True 
60     | 77.2     | 0.115177    | 1029.6283   | 3.526065    | 224     | 128        | 16    | 11     | 1   |7.52e-04 | 88     | 0.260   | True 
61     | 76.8     | 0.094882    | 1034.2528   | 3.518158    | 192     | 96         | 16    | 11     | 1   |6.89e-04 | 64     | 0.294   | True 
62     | 58.6     | 0.123521    | 1023.3751   | 3.527191    | 144     | 96         | 12    | 11     | 1   |5.26e-04 | 67     | 0.296   | True 
63     | 69.8     | 0.201195    | 1021.4073   | 3.565066    | 192     | 112        | 16    | 10     | 1   |1.66e-03 | 75     | 0.335   | True 
64     | 72.7     | 0.105032    | 1020.2815   | 3.516433    | 176     | 80         | 22    | 9      | 1   |7.35e-04 | 56     | 0.208   | True 
65     | 75.6     | 0.118407    | 1029.0228   | 3.527386    | 160     | 80         | 16    | 11     | 1   |7.80e-04 | 56     | 0.211   | True 
66     | 79.8     | 0.181023    | 1027.5997   | 3.558002    | 176     | 144        | 22    | 10     | 1   |1.08e-03 | 656    | 0.299   | True 
67     | 226.6    | 0.273704    | 1025.4695   | 3.603305    | 256     | 64         | 32    | 12     | 2   |6.78e-04 | 50     | 0.317   | True 
68     | 46.6     | 0.243605    | 1028.0425   | 3.589509    | 96      | 80         | 12    | 9      | 1   |2.44e-05 | 85     | 0.203   | True 
69     | 76.5     | 0.193321    | 1025.4288   | 3.563094    | 192     | 144        | 16    | 11     | 1   |1.54e-03 | 105    | 0.391   | True 
